Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.5361,3161,2409228,-1700987,-1727124,1173806,-94745,-222056,0
0.9833,3325,2562098,-1204784,-2134036,893079,109076,-78636,0
1.4778,3074,2221584,-2032035,-1363495,1152931,-251526,-178593,0
2.0167,3126,2325845,-1568313,-1658784,785055,-16982,-51753,0
2.5667,3241,2289791,-1670166,-1639582,780099,49421,-71703,0
3.0889,3181,2179581,-1965226,-1340200,1036023,-164347,-193851,0
3.6056,3054,2141932,-2072877,-1288119,1039216,-197681,-252690,0
4.1056,3051,2216104,-1924632,-1392883,1103878,-156595,-118996,0
4.5889,3252,2367765,-1625691,-1733767,972895,-18728,-76947,0
5.0500,3322,2357894,-1906183,-1575926,1067531,-130151,-124042,0
5.5000,3289,2386588,-1542557,-1837213,933245,-31236,-107556,0
5.9556,3226,2312242,-1759932,-1632517,1131345,-144183,-179015,0
6.4250,2953,2343937,-1442485,-1844436,918665,-12874,-98062,0
6.9222,3041,2280891,-1780817,-1569236,1107602,-110371,-68860,0
7.4528,3260,2205932,-2032364,-1342849,1064085,-212605,-205548,0
7.9667,3321,2380101,-1904630,-1548894,993110,-119714,-147845,0
8.4750,3264,2389060,-1613033,-1779195,834920,32378,-74991,0
9.0028,3179,2394225,-1579489,-1769891,800914,5521,-66306,0
9.5528,3140,2293317,-1878866,-1539693,887878,-38746,-150181,0
10.0583,3230,2523772,-1580999,-1925887,803068,39397,17945,0
10.5417,3264,2321705,-2127107,-1450953,1136956,-224018,-175640,0
11.0333,3241,2398352,-1963609,-1563484,1081807,-161751,-169364,0
11.5250,3185,2443231,-1418971,-1880324,948868,7072,-46812,0
12.0361,3244,2440136,-1579161,-1801699,906714,6594,-88183,0
12.5861,3179,2395148,-1528281,-1816359,745997,60294,-50404,0
13.1333,3224,2437828,-1728682,-1689473,817007,-63155,-57160,0
13.6917,3163,2251686,-1948873,-1403932,964974,-144442,-169789,0
14.2583,3144,2137960,-1948709,-1345259,974280,-103947,-189159,0
14.8056,3172,2242317,-2017049,-1361300,1038967,-179850,-208446,0
15.3500,3117,2298280,-1806803,-1556178,907395,-71748,-89964,0
15.8889,3222,2433770,-1703984,-1748679,866746,-22159,-48635,0
16.3944,3280,2456929,-1989281,-1565696,1024697,-180644,-140008,0
16.8861,3322,2364271,-2142317,-1432615,1153813,-231881,-166779,0
17.3778,3190,2371594,-1770373,-1660391,1078252,-89353,-152551,0
17.8611,3130,2281476,-1634270,-1661007,1094626,-87725,-103671,0
18.3472,3185,2206774,-1944737,-1342075,1245315,-239819,-201952,0
18.8361,3166,2203410,-1987607,-1370728,1175488,-245130,-227757,0
19.3167,3214,2441426,-1594161,-1832498,898263,11280,-32841,0
19.7917,3287,2392589,-1946599,-1570486,1103757,-194560,-153678,0
20.2694,3224,2382608,-1792467,-1639150,1086542,-98452,-165131,0
20.7611,3057,2363073,-1607166,-1736009,990943,-63997,-102301,0
21.2972,3162,2419436,-1557901,-1741212,844143,8851,15230,0
21.8306,3290,2504460,-1671083,-1815120,818510,11463,-45028,0
22.3194,3302,2542178,-1517369,-1964273,803081,49551,-17620,0
22.8083,3253,2445630,-1552216,-1864758,879157,10175,-52300,0
23.2917,3179,2361015,-1567362,-1782268,947407,-59608,-111616,0
23.7639,3165,2357148,-1341352,-1869819,857553,43405,-29476,0
24.2306,3153,2338131,-1351998,-1853407,841942,59879,-51058,0
24.7000,3112,2236590,-1624273,-1618498,1055456,-51887,-117955,0
25.1611,3085,2204883,-1584068,-1613586,1051977,-68758,-103306,0
25.6250,3176,2176452,-1844584,-1442507,1181912,-213189,-199165,0
26.0806,3229,2366984,-1389354,-1849027,820262,19170,4874,0
26.5444,3139,2129478,-1866415,-1384884,1194655,-294987,-174066,0
27.0056,3165,2189238,-1918119,-1350214,1131623,-210199,-226518,0
27.4861,3144,2363531,-1616024,-1732447,933877,-24479,-143089,0
27.9861,2835,2240097,-1918256,-1439940,1028660,-173788,-172973,0
28.4750,3055,2377105,-1475480,-1798776,975764,-238,34368,0
28.9694,3326,2304440,-2072052,-1442061,1084330,-185696,-163787,0
29.4472,3356,2413504,-2112639,-1429853,1045174,-224155,-118182,0
29.9250,3353,2410766,-1988379,-1520911,1069733,-200584,-142259,0
30.3972,3180,2267897,-1895600,-1561762,1131326,-220842,-210631,0
30.8889,3222,2493334,-1411092,-1931219,878442,8246,-32530,0
31.3889,3167,2399396,-1470493,-1812445,938381,-9612,-75400,0
31.9028,3182,2357256,-1727233,-1670739,971417,-70691,-89293,0
32.4028,3170,2309754,-1830438,-1606246,1018152,-79584,-129505,0
32.8861,3267,2270196,-2043072,-1436676,1093649,-213472,-167267,0
