Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.0028,1963,2428873,-1131109,-1350935,430925,136179,-476512,0
0.5694,2333,2317357,-832220,-1140639,694043,331938,-430979,1
1.1278,2983,2127016,-1092313,-1207703,1177320,-31913,145151,0
1.7306,2978,2363474,-652486,-1209693,495167,14670,-12302,0
2.3778,3170,2005802,-1117739,-988680,413826,60073,-284662,0
3.0306,3220,2206503,-1275674,-940118,448105,-8351,-480574,0
3.7222,2849,2138142,-976815,-1062131,540425,267909,-414428,1
4.4222,2678,2183072,-933563,-1249193,466333,74030,57457,0
5.1139,3283,2261726,-940513,-1057305,652802,75085,-111465,0
5.8056,3144,2190186,-1214374,-1070188,513769,-46711,-358946,0
6.5028,3076,2325759,-851675,-1291779,426781,100494,-105999,0
7.1917,2930,2098376,-884368,-1083960,496882,50894,-135442,0
7.8583,2731,1863889,-1032178,-800418,475584,4894,-196144,0
8.4944,2860,2004118,-863898,-1097092,370467,147686,5703,0
9.1250,3081,2554900,-919668,-1306194,405021,91959,-71685,0
9.7528,2883,2238943,-812055,-1298745,382687,77165,-159066,0
10.4306,2753,2074431,-1265691,-773565,552133,-74862,-235474,0
11.1500,2991,2033596,-1016801,-883671,331677,91338,-262985,1
11.9083,3103,2154301,-1120653,-1028667,337074,17358,-329895,0
12.6417,2808,1897845,-1024656,-941739,358913,21587,-267303,0
13.3528,2961,2109607,-1530493,-787153,514349,-199991,-187379,0
14.0806,2995,2172445,-975315,-1062267,319008,166059,-79493,1
14.8278,2971,2158979,-1178506,-956209,543272,-1038,-388774,0
15.5806,2791,2024066,-1399754,-832355,545101,-89223,-438575,0
16.2694,2916,1935646,-933403,-864529,422080,-18401,-238125,0
16.9028,2978,1938682,-788492,-1045959,447966,133213,-134726,0
17.5111,3106,2241897,-1148431,-1122409,520401,-28157,-204976,0
18.1194,3168,2409203,-1146304,-1389879,333781,215224,-232933,0
18.7972,2861,2259018,-1137392,-1282197,462303,124661,-112485,0
19.5417,3344,2109830,-1329197,-914819,565786,71364,-361189,1
20.2917,3039,2086591,-1069634,-1150134,369647,52148,-319547,0
21.0139,2838,1976934,-1180226,-957629,470977,136084,-180851,1
21.7333,2848,2130731,-1026647,-935508,409653,57098,-11753,0
