Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.0278,1736,979803,1516249,183532,-197040,-431174,161944,0
0.4472,2623,852445,1512386,335364,-45332,-344515,165036,0
1.0278,2659,819153,1574978,526774,108052,-337883,213642,0
1.5861,2607,827414,1553960,592421,307730,-209233,192354,0
2.1250,2591,887504,1600059,456230,264187,-117274,310314,0
2.6861,2884,1089595,1970207,598054,33910,-553322,39566,0
3.2500,3034,1312380,2086094,356440,-283272,-634208,122963,0
3.8417,2932,1267426,1963102,374915,-230877,-552333,123659,0
4.4750,2494,1133885,1720493,167959,-208798,-484119,203682,0
5.1278,2660,933428,1796049,479207,-55460,-532479,55981,0
5.7889,2851,997188,1754106,377985,-149666,-488636,131364,0
6.4667,2748,993743,1614851,235805,-216604,-424966,205654,0
7.1389,2754,866745,1708249,457589,-103212,-554562,66861,0
7.7861,2612,1030752,1485283,142288,-343927,-435252,131703,0
8.3944,2383,968274,1765906,335769,-122569,-562821,189318,0
9.0028,2756,1227033,1787103,-15462,-274412,-435325,75284,0
9.6056,3017,913002,1832854,359992,-414340,-564967,309497,0
10.2000,2747,847892,1526761,317709,-227055,-484791,122264,0
10.7944,2633,947080,1426176,66762,-285586,-381391,267591,0
11.3917,2647,971900,1400566,56686,-289889,-349437,238319,0
12.0056,2660,880311,1497177,265492,-245469,-431591,148591,0
12.6361,2711,1027873,1626475,166433,-305772,-434215,245009,0
13.2694,2738,1039003,1639719,219190,-282554,-501818,193769,0
13.9417,2765,951315,1667098,332821,-182833,-540813,120436,0
14.6528,2751,1097433,1584628,105554,-299197,-452215,216045,0
15.4083,2730,976265,1590058,301190,-196634,-528561,111977,0
16.1722,2753,913786,1649136,398289,-151100,-522210,81610,0
16.9417,2762,954910,1625814,307696,-205232,-494326,118280,0
17.7000,2766,894694,1635253,392089,-174574,-553608,119291,0
18.4389,2722,1021046,1595252,182754,-252195,-432660,179817,0
19.1417,2750,899585,1684446,401874,-86476,-524216,131447,0
19.8000,2836,1042199,1791274,324866,-144460,-500294,180434,0
20.4389,2817,1068067,1841094,351559,-209437,-497726,164444,0
21.0778,2811,1150027,1778078,235309,-249161,-473667,219109,0
21.7278,2797,988900,1749674,393950,-166467,-476093,135664,0
22.3944,2772,1129551,1655600,132657,-268344,-423399,301454,0
23.0611,2755,1095297,1681501,162191,-293661,-421889,232845,0
23.7389,2763,932721,1737429,471033,-60785,-509405,129681,0
24.4111,2742,976681,1703996,342478,-172307,-474442,167069,0
25.0722,2738,1011837,1623730,235860,-222234,-425932,192193,0
25.7250,2787,1122544,1689913,134204,-267705,-435632,249677,0
26.3917,2807,924224,1774905,461931,-146300,-559019,79433,0
27.0750,2746,993668,1665239,325238,-206207,-518919,175248,0
27.7500,2667,945399,1575294,284833,-119024,-403807,225051,0
28.4083,2780,1167767,1622235,72104,-311576,-446721,263724,0
29.0778,2763,1015987,1641187,303397,-217230,-429214,252490,0
29.7639,2735,1076635,1656289,200071,-258575,-420810,231465,0
30.4833,2761,919812,1701949,392655,-124831,-496831,95765,0
31.2333,2724,881757,1597476,387935,-174075,-484296,225367,0
31.9472,2724,1007509,1683139,225444,-315508,-361950,179456,0
32.6583,2745,1056555,1534386,34426,-347469,-372871,282536,0
33.3472,2708,938444,1599254,314827,-181738,-502534,167532,0
33.9778,2825,1113354,1740697,145903,-345509,-444901,200358,0
34.6028,2815,1105669,1773725,232257,-282647,-548463,172448,0
35.2306,2809,973018,1813169,436747,-179911,-565512,118338,0
35.8722,2763,906786,1726731,479451,-145078,-567156,75264,0
36.4972,2656,981788,1588739,202090,-220008,-383397,214342,0
37.1028,2810,926460,1761382,483649,-182573,-560373,70918,0
37.7083,2768,1189119,1655663,74680,-323661,-419276,249467,0
38.3194,2756,1098954,1685839,169180,-274753,-469886,225880,0
38.9333,2700,1016962,1654568,199470,-276245,-424538,260700,0
39.5389,2709,829421,1618083,451923,-3655,-448343,161187,0
40.1667,2748,1041081,1693712,248056,-303708,-499507,219423,0
40.8222,2726,1064363,1633135,186977,-296490,-464831,241801,0
41.5194,2679,1049922,1518749,80253,-257911,-361435,272718,0
42.1806,2721,1019637,1600560,179297,-178725,-396998,198921,0
42.8722,2749,1031607,1659498,236590,-268703,-505634,180880,0
43.5611,2750,935334,1672316,365677,-180288,-521345,79449,0
44.2278,2570,876564,1483907,342193,-87862,-387682,115256,0
44.8778,2686,1039946,1748781,249129,-232953,-546556,178991,0
45.5389,2697,926556,1549981,194456,-194532,-423815,271604,0
46.1583,2728,736141,1566072,504058,-11307,-411180,102060,0
46.8000,2760,968338,1654821,322113,-191268,-537550,52248,0
47.4500,2601,951221,1526507,194248,-138852,-345786,214817,0
48.1167,2834,989091,1820169,423749,-192290,-582498,62429,0
48.8083,2694,847379,1646135,468709,-147509,-502898,28508,0
49.5472,2612,828347,1497197,345418,-99942,-446231,157824,0
50.2444,2738,1037127,1587067,171003,-233085,-449231,226041,0
50.9694,2678,1068550,1565526,150656,-237388,-430367,203087,0
51.7083,2652,827014,1561232,467126,-57671,-438128,118585,0
52.4000,2781,1125757,1543175,42427,-316409,-377384,259407,0
53.1278,2748,998829,1648371,300562,-175432,-564405,125407,0
53.8861,2682,940628,1598443,316361,-125720,-451100,138802,0
54.6056,2753,972051,1566729,240668,-159304,-460822,191772,0
55.3139,2725,923242,1622966,380360,-158272,-487447,97952,0
56.0306,2727,898425,1587849,446094,-128818,-551181,74547,0
56.7250,2590,925316,1464979,222803,-103840,-319152,202373,0
57.4250,2725,940436,1665978,418865,-125019,-559458,84516,0
58.1556,2739,1053512,1637129,193047,-217203,-452678,142242,0
58.8917,2716,1071153,1471428,54779,-320045,-399657,232140,0
59.6306,2606,975252,1445370,160464,-180703,-307826,256539,0
60.3139,2750,1113663,1545600,49053,-286781,-385042,220793,0
61.0194,2655,993661,1576049,217919,-213952,-450392,153917,0
61.7861,2672,1033893,1545813,149229,-270540,-415443,177011,0
62.5389,2754,985948,1635719,258295,-286955,-556104,179324,0
63.2639,2718,1051631,1590863,119807,-276687,-453805,233973,0
63.9722,2668,1039928,1442037,8474,-306462,-384930,238996,0
64.6472,2628,876405,1482782,284169,-135052,-356654,188845,0
65.2806,2750,920211,1705178,403139,-132426,-548638,30640,0
65.9278,2740,983920,1658678,298444,-236339,-470238,181731,0
66.5972,2704,988245,1600174,239044,-211848,-388686,191289,0
67.2583,2627,926311,1488358,250953,-129047,-356725,242079,0
67.9417,2716,1115584,1563932,93103,-300049,-448758,231768,0
68.6444,2735,994781,1604211,276565,-256293,-466354,173036,0
69.3556,2635,981171,1443905,108452,-180172,-305313,257622,0
70.0556,2745,961628,1616882,305353,-206348,-482557,100950,0
70.8028,2733,922211,1634441,408575,-131413,-528588,75387,0
71.5639,2665,1051294,1474439,109681,-208517,-378687,246981,0
72.2667,2709,889165,1591282,418988,-121208,-440491,74121,0
72.9500,2802,1024092,1721072,363462,-221003,-516726,141672,0
73.6444,2587,1039804,1545695,81108,-291661,-400801,243215,0
74.3389,2620,849774,1552127,360674,-64914,-396586,178609,0
74.9861,2807,1038086,1630354,257286,-192869,-474438,155145,0
75.6556,2825,1051640,1740852,326872,-201833,-562659,100152,0
76.3444,2764,903259,1681701,434131,-153902,-522354,71569,0
77.0528,2728,879331,1614564,386613,-168596,-525889,119502,0
77.7528,2526,949968,1408691,119936,-245604,-352501,276063,0
78.4306,2553,963490,1478485,83221,-227328,-352791,279937,0
