Tiempo(s),Valor_ADC
0.0028,1704
0.0056,1684
0.0083,1652
0.0111,1645
0.0139,1649
0.0167,1662
0.0194,1671
0.0222,1667
0.0250,1673
0.0278,1678
0.0306,1685
0.0333,1680
0.0361,1666
0.0389,1663
0.0417,1658
0.0444,1658
0.0472,1653
0.0500,1664
0.0528,1645
0.0556,1637
0.0583,1635
0.0611,1665
0.0639,1684
0.0667,1708
0.0694,1722
0.0722,1687
0.0750,1686
0.0778,1681
0.0806,1661
0.0833,1634
0.0861,1645
0.0889,1659
0.0917,1647
0.0944,1653
0.0972,1665
0.1000,1672
0.1028,1666
0.1056,1658
0.1083,1642
0.1111,1626
0.1139,1607
0.1167,1599
0.1194,1611
0.1222,1633
0.1250,1652
0.1278,1670
0.1306,1673
0.1333,1674
0.1361,1662
0.1389,1652
0.1417,1646
0.1444,1645
0.1472,1630
0.1500,1630
0.1528,1640
0.1556,1649
0.1583,1663
0.1611,1674
0.1639,1676
0.1667,1669
0.1694,1656
0.1722,1650
0.1750,1645
0.1778,1637
0.1806,1634
0.1833,1637
0.1861,1644
0.1889,1649
0.1917,1648
0.1944,1657
0.1972,1651
0.2000,1651
0.2028,1650
0.2056,1643
0.2083,1653
0.2111,1664
0.2139,1673
0.2167,1683
0.2194,1705
0.2222,1722
0.2250,1724
0.2278,1720
0.2306,1720
0.2333,1716
0.2361,1714
0.2389,1721
0.2417,1719
0.2444,1711
0.2472,1722
0.2500,1722
0.2528,1725
0.2556,1725
0.2583,1715
0.2611,1704
0.2639,1700
0.2667,1693
0.2694,1680
0.2722,1664
0.2750,1663
0.2778,1657
0.2806,1661
0.2833,1660
0.2861,1637
0.2889,1629
0.2917,1627
0.2944,1618
0.2972,1611
0.3000,1603
0.3028,1598
0.3056,1599
0.3083,1614
0.3111,1624
0.3139,1628
0.3167,1633
0.3194,1639
0.3222,1647
0.3250,1639
0.3278,1639
0.3306,1638
0.3333,1633
0.3361,1624
0.3389,1611
0.3417,1610
0.3444,1623
