Tiempo(s),Valor_ADC
0.0028,1780
0.0056,1774
0.0083,1798
0.0111,1817
0.0139,1817
0.0167,1796
0.0194,1776
0.0222,1744
0.0250,1736
0.0278,1744
0.0306,1749
0.0333,1737
0.0361,1727
0.0389,1752
0.0417,1770
0.0444,1786
0.0472,1800
0.0500,1808
0.0528,1791
0.0556,1771
0.0583,1755
0.0611,1747
0.0639,1744
0.0667,1726
0.0694,1733
0.0722,1775
0.0750,1828
0.0778,1878
0.0806,1900
0.0833,1887
0.0861,1874
0.0889,1878
0.0917,1881
0.0944,1866
0.0972,1864
0.1000,1855
0.1028,1853
0.1056,1856
0.1083,1870
0.1111,1882
0.1139,1882
0.1167,1879
0.1194,1886
0.1222,1904
0.1250,1899
0.1278,1891
0.1306,1897
0.1333,1879
0.1361,1872
0.1389,1897
0.1417,1927
0.1444,1955
0.1472,1980
0.1500,2041
0.1528,2019
0.1556,1978
0.1583,1954
0.1611,1922
0.1639,1928
0.1667,1948
0.1694,1974
0.1722,1973
0.1750,1948
0.1778,1904
0.1806,1869
0.1833,1870
0.1861,1894
0.1889,1915
0.1917,1897
0.1944,1839
0.1972,1799
0.2000,1768
0.2028,1780
0.2056,1797
0.2083,1832
0.2111,1838
0.2139,1795
0.2167,1734
0.2194,1701
0.2222,1681
0.2250,1666
0.2278,1691
0.2306,1708
0.2333,1708
0.2361,1705
0.2389,1689
0.2417,1657
0.2444,1629
0.2472,1631
0.2500,1639
0.2528,1631
0.2556,1632
0.2583,1636
0.2611,1633
0.2639,1634
0.2667,1645
0.2694,1671
0.2722,1668
0.2750,1651
0.2778,1648
0.2806,1622
0.2833,1600
0.2861,1620
0.2889,1632
0.2917,1647
0.2944,1649
0.2972,1691
0.3000,1710
0.3028,1702
0.3056,1682
0.3083,1657
0.3111,1646
0.3139,1663
0.3167,1703
0.3194,1715
0.3222,1707
0.3250,1684
0.3278,1690
0.3306,1698
0.3333,1703
0.3361,1707
0.3389,1706
0.3417,1687
0.3444,1667
0.3472,1686
0.3500,1704
0.3528,1702
0.3556,1692
0.3583,1687
0.3611,1680
0.3639,1673
0.3667,1696
0.3694,1713
0.3722,1729
0.3750,1741
0.3778,1742
0.3806,1727
0.3833,1711
0.3861,1708
0.3889,1722
0.3917,1718
0.3944,1703
0.3972,1693
0.4000,1672
0.4028,1675
0.4056,1679
0.4083,1693
0.4111,1688
0.4139,1688
0.4167,1705
0.4194,1732
0.4222,1747
0.4250,1737
0.4278,1750
0.4306,1757
0.4333,1752
0.4361,1740
0.4389,1725
0.4417,1703
0.4444,1691
0.4472,1717
0.4500,1729
0.4528,1727
0.4556,1700
0.4583,1697
0.4611,1667
0.4639,1642
0.4667,1657
0.4694,1705
0.4722,1745
0.4750,1760
0.4778,1778
0.4806,1767
0.4833,1733
0.4861,1728
0.4889,1755
0.4917,1749
0.4944,1708
0.4972,1701
0.5000,1711
0.5028,1740
0.5056,1752
0.5083,1763
0.5111,1754
0.5139,1747
0.5167,1748
0.5194,1740
0.5222,1717
0.5250,1700
0.5278,1708
0.5306,1711
0.5333,1706
0.5361,1694
0.5389,1696
0.5417,1700
0.5444,1693
0.5472,1701
0.5500,1699
0.5528,1685
0.5556,1660
0.5583,1646
0.5611,1632
0.5639,1657
0.5667,1696
0.5694,1730
0.5722,1757
0.5750,1773
0.5778,1783
0.5806,1779
0.5833,1751
0.5861,1745
0.5889,1743
0.5917,1718
0.5944,1723
0.5972,1744
0.6000,1751
0.6028,1736
0.6056,1724
0.6083,1710
0.6111,1715
0.6139,1714
0.6167,1735
0.6194,1767
0.6222,1771
0.6250,1756
0.6278,1742
0.6306,1719
0.6333,1688
0.6361,1674
0.6389,1667
0.6417,1663
0.6444,1678
0.6472,1702
0.6500,1705
0.6528,1706
0.6556,1674
0.6583,1645
0.6611,1635
0.6639,1649
0.6667,1668
0.6694,1671
0.6722,1666
0.6750,1681
0.6778,1693
0.6806,1697
0.6833,1698
0.6861,1706
0.6889,1697
0.6917,1704
0.6944,1684
0.6972,1678
0.7000,1669
0.7028,1661
0.7056,1657
0.7083,1674
0.7111,1680
0.7139,1652
0.7167,1627
0.7194,1572
0.7222,1506
0.7250,1479
0.7278,1497
0.7306,1566
0.7333,1652
0.7361,1761
0.7389,1879
0.7417,2037
0.7444,2278
0.7472,2536
0.7500,2731
0.7528,2776
0.7556,2651
0.7583,2399
0.7611,2145
0.7639,1963
0.7667,1893
0.7694,1889
0.7722,1871
0.7750,1850
0.7778,1841
0.7806,1841
0.7833,1777
0.7861,1720
0.7889,1657
0.7917,1629
0.7944,1604
0.7972,1633
0.8000,1652
0.8028,1654
0.8056,1673
0.8083,1648
0.8111,1625
0.8139,1596
0.8167,1586
0.8194,1596
0.8222,1607
0.8250,1632
0.8278,1640
0.8306,1624
0.8333,1602
0.8361,1606
0.8389,1621
0.8417,1626
0.8444,1629
0.8472,1632
0.8500,1622
0.8528,1622
0.8556,1609
0.8583,1605
0.8611,1581
0.8639,1584
0.8667,1595
0.8694,1612
0.8722,1612
0.8750,1615
0.8778,1615
0.8806,1617
0.8833,1599
0.8861,1597
0.8889,1608
0.8917,1620
0.8944,1662
0.8972,1690
0.9000,1701
0.9028,1678
0.9056,1651
0.9083,1644
0.9111,1643
0.9139,1644
0.9167,1682
0.9194,1704
0.9222,1702
0.9250,1692
0.9278,1680
0.9306,1662
0.9333,1647
0.9361,1669
0.9389,1694
0.9417,1738
0.9444,1780
0.9472,1806
0.9500,1812
0.9528,1808
0.9556,1791
0.9583,1773
0.9611,1723
0.9639,1725
0.9667,1730
0.9694,1721
0.9722,1713
0.9750,1687
0.9778,1670
0.9806,1634
0.9833,1600
0.9861,1593
0.9889,1613
0.9917,1623
0.9944,1629
0.9972,1633
1.0000,1601
1.0028,1579
1.0056,1561
1.0083,1563
1.0111,1558
1.0139,1558
1.0167,1552
1.0194,1543
1.0222,1525
1.0250,1523
1.0278,1549
1.0306,1563
1.0333,1580
1.0361,1578
1.0389,1573
1.0417,1558
1.0444,1573
1.0472,1598
1.0500,1598
1.0528,1578
1.0556,1573
1.0583,1586
1.0611,1596
1.0639,1593
1.0667,1602
1.0694,1591
1.0722,1574
1.0750,1568
1.0778,1555
1.0806,1550
1.0833,1533
1.0861,1539
1.0889,1552
1.0917,1556
1.0944,1551
1.0972,1551
1.1000,1544
1.1028,1547
1.1056,1568
1.1083,1606
1.1111,1593
1.1139,1569
1.1167,1575
1.1194,1563
1.1222,1535
1.1250,1533
1.1278,1551
1.1306,1565
1.1333,1596
1.1361,1605
1.1389,1595
1.1417,1573
1.1444,1551
1.1472,1543
1.1500,1539
1.1528,1541
1.1556,1561
1.1583,1585
1.1611,1600
1.1639,1614
1.1667,1618
1.1694,1614
1.1722,1603
1.1750,1583
1.1778,1554
1.1806,1562
1.1833,1563
1.1861,1582
1.1889,1586
1.1917,1586
1.1944,1564
1.1972,1550
1.2000,1554
1.2028,1545
1.2056,1557
1.2083,1567
1.2111,1567
1.2139,1564
1.2167,1560
1.2194,1566
1.2222,1561
1.2250,1580
1.2278,1578
1.2306,1574
1.2333,1559
1.2361,1567
1.2389,1580
1.2417,1577
1.2444,1571
1.2472,1558
1.2500,1552
1.2528,1554
1.2556,1573
1.2583,1601
1.2611,1601
1.2639,1609
1.2667,1591
1.2694,1580
1.2722,1559
1.2750,1567
1.2778,1572
1.2806,1578
1.2833,1573
1.2861,1580
1.2889,1576
1.2917,1550
1.2944,1551
1.2972,1566
1.3000,1582
1.3028,1575
1.3056,1584
1.3083,1588
1.3111,1595
1.3139,1583
1.3167,1588
1.3194,1576
1.3222,1573
1.3250,1594
1.3278,1592
1.3306,1595
1.3333,1579
1.3361,1584
1.3389,1568
1.3417,1533
1.3444,1534
1.3472,1564
1.3500,1585
1.3528,1587
1.3556,1596
1.3583,1596
1.3611,1607
1.3639,1611
1.3667,1619
1.3694,1600
1.3722,1593
1.3750,1570
1.3778,1576
1.3806,1600
1.3833,1616
1.3861,1618
1.3889,1615
1.3917,1606
1.3944,1591
1.3972,1591
1.4000,1595
1.4028,1588
1.4056,1587
1.4083,1605
1.4111,1616
1.4139,1645
1.4167,1667
1.4194,1680
1.4222,1675
1.4250,1661
1.4278,1651
1.4306,1631
1.4333,1620
1.4361,1621
1.4389,1617
1.4417,1609
1.4444,1599
1.4472,1589
1.4500,1551
1.4528,1527
1.4556,1543
1.4583,1558
1.4611,1567
1.4639,1577
1.4667,1579
1.4694,1553
1.4722,1529
1.4750,1515
1.4778,1528
1.4806,1561
1.4833,1593
1.4861,1602
1.4889,1601
1.4917,1595
1.4944,1574
1.4972,1566
1.5000,1558
1.5028,1557
1.5056,1584
1.5083,1593
1.5111,1592
1.5139,1582
1.5167,1552
1.5194,1495
1.5222,1430
1.5250,1389
1.5278,1409
1.5306,1491
1.5333,1588
