Tiempo(s),Valor_ADC
0.0028,1516
0.0056,1514
0.0083,1506
0.0111,1508
0.0139,1517
0.0167,1525
0.0194,1544
0.0222,1545
0.0250,1552
0.0278,1545
0.0306,1543
0.0333,1547
0.0361,1548
0.0389,1570
0.0417,1568
0.0444,1566
0.0472,1564
0.0500,1553
0.0528,1557
0.0556,1559
0.0583,1564
0.0611,1588
0.0639,1574
0.0667,1563
0.0694,1562
0.0722,1546
0.0750,1549
0.0778,1552
0.0806,1559
0.0833,1558
0.0861,1547
0.0889,1541
0.0917,1532
0.0944,1527
0.0972,1531
0.1000,1527
0.1028,1530
0.1056,1525
0.1083,1511
0.1111,1512
0.1139,1510
0.1167,1517
0.1194,1517
0.1222,1519
0.1250,1512
0.1278,1508
0.1306,1506
0.1333,1502
0.1361,1511
0.1389,1516
0.1417,1517
0.1444,1523
0.1472,1519
0.1500,1517
0.1528,1516
0.1556,1526
0.1583,1526
0.1611,1534
0.1639,1532
0.1667,1526
0.1694,1525
0.1722,1522
0.1750,1528
0.1778,1535
0.1806,1545
0.1833,1548
0.1861,1542
0.1889,1541
0.1917,1539
0.1944,1544
0.1972,1549
0.2000,1554
0.2028,1551
0.2056,1544
0.2083,1528
0.2111,1508
0.2139,1494
0.2167,1480
0.2194,1488
0.2222,1500
0.2250,1532
0.2278,1564
0.2306,1600
0.2333,1646
0.2361,1694
0.2389,1729
0.2417,1732
0.2444,1734
0.2472,1748
0.2500,1770
0.2528,1796
0.2556,1824
0.2583,1856
0.2611,1872
0.2639,1897
0.2667,1889
0.2694,1883
0.2722,1850
0.2750,1841
0.2778,1809
0.2806,1779
0.2833,1747
0.2861,1705
0.2889,1655
0.2917,1614
0.2944,1580
0.2972,1556
0.3000,1557
0.3028,1557
0.3056,1557
0.3083,1553
0.3111,1556
0.3139,1556
0.3167,1557
0.3194,1550
0.3222,1543
0.3250,1545
0.3278,1541
0.3306,1542
0.3333,1542
0.3361,1541
0.3389,1542
0.3417,1545
0.3444,1540
0.3472,1542
0.3500,1544
0.3528,1542
0.3556,1545
0.3583,1554
0.3611,1549
0.3639,1546
0.3667,1536
0.3694,1499
0.3722,1449
0.3750,1407
0.3778,1380
0.3806,1406
0.3833,1469
0.3861,1582
0.3889,1750
0.3917,1930
0.3944,2117
0.3972,2288
0.4000,2434
0.4028,2597
0.4056,2763
0.4083,2945
0.4111,3037
0.4139,2867
0.4167,2462
0.4194,1979
0.4222,1512
0.4250,1147
0.4278,909
0.4306,811
0.4333,828
0.4361,935
0.4389,1092
0.4417,1256
0.4444,1384
0.4472,1464
0.4500,1510
0.4528,1529
0.4556,1544
0.4583,1566
0.4611,1584
0.4639,1582
0.4667,1571
0.4694,1560
0.4722,1557
0.4750,1568
0.4778,1583
0.4806,1610
0.4833,1615
0.4861,1617
0.4889,1619
0.4917,1607
0.4944,1612
0.4972,1621
0.5000,1635
0.5028,1645
0.5056,1649
0.5083,1639
0.5111,1627
0.5139,1636
0.5167,1640
0.5194,1654
0.5222,1675
0.5250,1679
0.5278,1678
0.5306,1672
0.5333,1662
0.5361,1681
0.5389,1688
0.5417,1704
0.5444,1717
0.5472,1712
0.5500,1714
0.5528,1709
0.5556,1737
0.5583,1745
0.5611,1769
0.5639,1788
0.5667,1774
0.5694,1772
0.5722,1771
0.5750,1784
0.5778,1810
0.5806,1820
0.5833,1835
0.5861,1836
0.5889,1826
0.5917,1836
0.5944,1847
0.5972,1866
0.6000,1885
0.6028,1898
0.6056,1899
0.6083,1907
0.6111,1897
0.6139,1904
0.6167,1698
0.6194,1701
0.6222,1702
0.6250,1685
0.6278,1655
0.6306,1627
0.6333,1612
0.6361,1610
0.6389,1612
0.6417,1610
0.6444,1605
0.6472,1595
0.6500,1592
0.6528,1580
0.6556,1583
0.6583,1589
0.6611,1600
0.6639,1603
0.6667,1593
0.6694,1584
0.6722,1577
0.6750,1591
0.6778,1597
0.6806,1609
0.6833,1617
0.6861,1608
0.6889,1593
0.6917,1598
0.6944,1604
0.6972,1621
0.7000,1629
0.7028,1632
0.7056,1626
0.7083,1625
0.7111,1630
0.7139,1625
0.7167,1648
0.7194,1642
0.7222,1647
0.7250,1655
0.7278,1651
0.7306,1632
0.7333,1634
0.7361,1647
0.7389,1657
0.7417,1663
0.7444,1659
0.7472,1658
0.7500,1657
0.7528,1651
0.7556,1656
0.7583,1662
0.7611,1670
0.7639,1664
0.7667,1658
0.7694,1659
0.7722,1652
0.7750,1654
0.7778,1662
0.7806,1658
0.7833,1664
0.7861,1659
