Tiempo(s),Valor_ADC
0.0028,1963
0.0056,1644
0.0083,1494
0.0111,1471
0.0139,1522
0.0167,1575
0.0194,1625
0.0222,1646
0.0250,1614
0.0278,1547
0.0306,1497
0.0333,1470
0.0361,1467
0.0389,1492
0.0417,1520
0.0444,1506
0.0472,1465
0.0500,1402
0.0528,1351
0.0556,1351
0.0583,1377
0.0611,1398
0.0639,1399
0.0667,1382
0.0694,1367
0.0722,1352
0.0750,1322
0.0778,1308
0.0806,1308
0.0833,1332
0.0861,1375
0.0889,1405
0.0917,1375
0.0944,1322
0.0972,1291
0.1000,1316
0.1028,1349
0.1056,1352
0.1083,1319
0.1111,1267
0.1139,1219
0.1167,1201
0.1194,1200
0.1222,1210
0.1250,1202
0.1278,1176
0.1306,1169
0.1333,1192
0.1361,1230
0.1389,1280
0.1417,1320
0.1444,1324
0.1472,1274
0.1500,1175
0.1528,1088
0.1556,1050
0.1583,1073
0.1611,1115
0.1639,1145
0.1667,1148
0.1694,1128
0.1722,1096
0.1750,1108
0.1778,1141
0.1806,1173
0.1833,1185
0.1861,1167
0.1889,1149
0.1917,1118
0.1944,1081
0.1972,933
0.2000,939
0.2028,962
0.2056,948
0.2083,919
0.2111,876
0.2139,844
0.2167,835
0.2194,847
0.2222,856
0.2250,851
0.2278,857
0.2306,857
0.2333,855
0.2361,897
0.2389,939
0.2417,969
0.2444,955
0.2472,907
0.2500,844
0.2528,807
0.2556,801
0.2583,803
0.2611,798
0.2639,807
0.2667,821
0.2694,839
0.2722,833
0.2750,826
0.2778,825
0.2806,843
0.2833,872
0.2861,885
0.2889,854
0.2917,806
0.2944,779
0.2972,814
0.3000,848
0.3028,863
0.3056,840
0.3083,817
0.3111,807
0.3139,817
0.3167,866
0.3194,900
0.3222,911
0.3250,901
0.3278,866
0.3306,830
0.3333,841
0.3361,849
0.3389,874
0.3417,896
0.3444,894
0.3472,908
0.3500,910
0.3528,939
0.3556,974
0.3583,1005
0.3611,1012
0.3639,973
0.3667,930
0.3694,890
0.3722,846
0.3750,843
0.3778,864
0.3806,888
0.3833,897
0.3861,890
0.3889,872
0.3917,829
0.3944,765
0.3972,734
0.4000,766
0.4028,804
0.4056,829
0.4083,827
0.4111,844
0.4139,859
0.4167,858
0.4194,846
0.4222,843
0.4250,841
0.4278,833
0.4306,818
0.4333,807
0.4361,795
0.4389,789
0.4417,795
0.4444,867
0.4472,949
0.4500,1000
0.4528,955
0.4556,867
0.4583,759
0.4611,676
0.4639,643
0.4667,661
0.4694,699
0.4722,721
0.4750,719
0.4778,688
0.4806,676
0.4833,662
0.4861,653
0.4889,695
0.4917,735
0.4944,772
0.4972,802
0.5000,798
0.5028,772
0.5056,744
0.5083,744
0.5111,774
0.5139,815
0.5167,854
0.5194,891
0.5222,911
0.5250,911
0.5278,936
0.5306,1000
0.5333,1045
0.5361,1012
0.5389,922
0.5417,803
0.5444,752
0.5472,799
0.5500,939
0.5528,1132
0.5556,1328
0.5583,1504
0.5611,1674
0.5639,1913
0.5667,2190
0.5694,2333
0.5722,2293
0.5750,2005
0.5778,1573
0.5806,1155
0.5833,876
0.5861,781
0.5889,819
0.5917,910
0.5944,1018
0.5972,1075
0.6000,1075
0.6028,1031
0.6056,952
0.6083,893
0.6111,828
0.6139,791
0.6167,799
0.6194,819
0.6222,860
0.6250,878
0.6278,885
0.6306,895
0.6333,874
0.6361,858
0.6389,834
0.6417,833
0.6444,853
0.6472,875
0.6500,852
0.6528,820
0.6556,794
0.6583,797
0.6611,837
0.6639,871
0.6667,883
0.6694,878
0.6722,883
0.6750,890
0.6778,925
0.6806,942
0.6833,914
0.6861,871
0.6889,870
0.6917,922
0.6944,961
0.6972,988
0.7000,1000
0.7028,986
0.7056,1003
0.7083,1007
0.7111,1030
0.7139,1046
0.7167,1053
0.7194,1056
0.7222,1041
0.7250,996
0.7278,947
0.7306,906
0.7333,905
0.7361,942
0.7389,988
0.7417,1015
0.7444,984
0.7472,951
0.7500,951
0.7528,1004
0.7556,1045
0.7583,1092
0.7611,1124
0.7639,1121
0.7667,1139
0.7694,1173
0.7722,1193
0.7750,1311
0.7778,1320
0.7806,1322
0.7833,1307
0.7861,1267
0.7889,1214
0.7917,1168
0.7944,1182
0.7972,1249
0.8000,1339
0.8028,1365
0.8056,1364
0.8083,1339
0.8111,1339
0.8139,1352
0.8167,1390
0.8194,1435
0.8222,1460
0.8250,1480
0.8278,1483
0.8306,1490
0.8333,1486
0.8361,1506
0.8389,1544
0.8417,1575
0.8444,1597
0.8472,1582
0.8500,1571
0.8528,1572
0.8556,1587
0.8583,1672
0.8611,1757
0.8639,1819
0.8667,1815
0.8694,1739
0.8722,1600
0.8750,1468
0.8778,1420
0.8806,1421
0.8833,1460
0.8861,1499
0.8889,1506
0.8917,1521
0.8944,1517
0.8972,1536
0.9000,1540
0.9028,1543
0.9056,1565
0.9083,1566
0.9111,1578
0.9139,1570
0.9167,1535
0.9194,1520
0.9222,1527
0.9250,1550
0.9278,1583
0.9306,1608
0.9333,1631
0.9361,1661
0.9389,1697
0.9417,1719
0.9444,1688
0.9472,1604
0.9500,1524
0.9528,1491
0.9556,1511
0.9583,1548
0.9611,1563
0.9639,1552
0.9667,1525
0.9694,1509
0.9722,1486
0.9750,1501
0.9778,1527
0.9806,1556
0.9833,1556
0.9861,1535
0.9889,1526
0.9917,1533
0.9944,1523
0.9972,1490
1.0000,1434
