Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.1750,2623,1008574,1214021,396876,-426743,-89271,33704,0
0.7361,2600,765050,1390351,225684,-228776,-395692,132201,0
1.2972,2550,664736,1373818,408432,-117761,-365135,36333,0
1.8750,2654,918978,1345270,20022,-272506,-346006,157504,0
2.4667,2619,810432,1411325,237358,-181073,-403992,210882,0
3.0917,2592,951473,1425635,154310,-270552,-407389,157379,0
3.8139,2727,909357,1516423,190132,-258241,-446069,134244,0
4.5500,2643,816589,1456819,355448,-189033,-488236,88623,0
5.2000,2616,1046147,1262224,-86539,-298551,-236570,248692,0
5.8889,2728,1079448,1593949,176566,-383948,-545863,110703,0
6.6250,2784,954203,1529355,199052,-468879,-575135,79761,0
7.3528,2079,823183,1374788,205174,-235518,-460499,41536,0
8.0083,2532,822042,1400912,205319,-134228,-366443,225408,0
8.6694,2760,858365,1528361,148813,-229229,-505923,235686,0
9.3472,2705,859817,1461956,126278,-158833,-574471,42174,0
10.0000,2723,847928,1506676,385915,-156174,-517515,73061,0
10.6694,2693,875743,1479265,321769,-235576,-592386,-11758,0
11.4389,2723,935686,1506451,74315,-441221,-528878,55103,0
12.1611,2657,970388,1463541,98366,-281764,-472893,79969,0
12.8583,2686,906743,1613287,323991,-206167,-591798,39030,0
13.5944,2709,1081543,1465034,77902,-374477,-521370,107636,0
14.3194,2602,1467406,-443422,-797794,593752,4957,-160325,0
14.9861,2612,1049626,1433631,-4926,-366522,-491302,159148,0
15.6583,2644,941279,1537210,160710,-278816,-492010,120492,0
16.3111,2699,1490116,-375601,-799090,535619,24808,-183530,0
16.9500,2586,867568,1493884,261130,-234940,-482835,13884,0
17.6361,2679,1571506,-228284,-884655,405774,76657,-125800,0
18.3806,2682,924354,1529724,268879,-194682,-583916,20547,0
19.0917,2714,1000431,1413116,66259,-428970,-428772,191766,0
19.8111,2676,1579230,-444309,-835778,535317,-19713,-239863,0
20.5361,2677,1514063,-388956,-785207,481426,58418,-203754,0
21.1917,2606,793682,1442586,334657,-138254,-486653,-31969,0
21.8472,2654,973746,1489734,187932,-295556,-554340,36001,0
22.5056,2675,988850,1491417,171400,-381972,-537302,84680,0
23.1389,2630,1369274,-318567,-718816,468528,811,-185744,0
23.7611,2818,928989,1656089,403959,-228681,-659608,-90415,0
24.4167,2720,1076181,1497482,54865,-366149,-673821,155320,0
25.1167,2855,1739428,-808116,-775028,-100353,174959,-734997,1
25.7972,2648,932898,1382807,86661,-307043,-489061,85639,0
26.4167,2601,899565,1279848,339,-363394,-393022,157198,0
27.0472,2718,1104483,1598399,133865,-353924,-584040,141080,0
27.6778,2590,736959,1481012,449347,-146382,-507777,-26227,0
28.3083,2622,736226,1427742,373377,-82418,-530951,-94491,0
28.9194,2556,744174,1335149,318743,-245004,-484272,75672,0
29.5139,2655,929266,1415721,172692,-293193,-483259,124891,0
30.1333,2689,984744,1500600,147470,-324119,-502368,185955,0
30.7917,2721,1568838,-272948,-808717,508629,8526,-174750,0
31.4667,2599,1001769,1264676,54512,-316524,-454250,210297,0
32.1528,2647,962234,1507645,269814,-277130,-567922,137794,0
32.9111,2684,981207,1484049,81769,-228991,-434888,118428,0
33.7389,2693,866116,1488462,240351,-169111,-524465,99708,0
34.4583,2686,1029511,1425809,154752,-285230,-507331,215884,0
35.1944,2729,1563288,-333591,-916815,519932,36655,-258634,0
35.9417,2654,890086,1480909,221016,-303858,-432661,93594,0
36.6194,2644,901284,1418551,172599,-358261,-421908,108571,0
37.3333,2642,824039,1455876,405419,-250048,-591726,-2219,0
38.1028,2579,790185,1489154,365159,-401068,-474994,24320,0
38.8194,2685,1521899,-286657,-843947,443096,8779,-235947,0
39.5667,2765,1043707,1649074,130659,-306745,-664265,172000,0
40.2806,2525,998906,1353091,-19922,-387640,-450857,215751,0
40.9639,2720,1557134,-499106,-799619,562645,-50786,-162502,0
41.6917,2763,976532,1555029,127079,-396720,-597554,52329,0
42.4361,2642,819849,1526159,444442,-114191,-624865,-29720,0
43.1000,2557,1413263,-365785,-628426,450910,28973,-106722,0
43.7583,2620,908366,1506506,287896,-243211,-531089,36754,0
44.4278,2613,830365,1469992,364488,-187606,-532162,-19823,0
45.0639,2607,929213,1453601,141135,-286443,-486416,155242,0
45.7028,2750,1010090,1624220,291559,-271820,-599877,65046,0
46.3833,2723,1070024,1573175,132729,-355846,-440380,96711,0
47.0861,2627,960702,1485064,104005,-327751,-493814,110422,0
47.7278,2700,933637,1543991,131328,-294269,-495432,61043,0
48.3861,2667,976142,1489110,192069,-298737,-469619,67068,0
49.0556,2665,922907,1563090,248535,-147224,-672687,-199990,0
49.7028,2627,807758,1624978,137361,-300998,-635982,159718,0
50.3361,2740,1062343,1561600,160542,-366992,-479101,153898,0
51.0167,2730,1063174,1598268,76084,-349588,-619154,11538,0
51.7111,2587,844678,1412413,273585,-276561,-597623,-16267,0
52.3583,2608,1030173,1506435,121451,-345267,-609608,152036,0
53.0278,2747,1533063,-317394,-905789,448820,111998,-148851,0
53.6944,2590,1010547,1292001,-63936,-435441,-478438,118610,0
54.3167,2535,1450112,-224897,-835956,427620,78960,-117079,0
54.9361,2709,1527047,-357197,-860269,485151,82660,-161048,0
