Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.0111,1677,1793913,-2838938,-1470666,727375,133217,178232,0
0.4667,2983,1721848,-2780262,-1565509,742730,199467,249212,0
1.1361,3014,1839735,-2615536,-1732274,617258,231964,305731,0
1.8361,2873,1745551,-2549738,-1435896,436368,38906,207078,0
2.5111,3368,1222961,-2562168,-548228,821148,59520,606247,0
3.1694,3212,1876713,-2296389,-1686125,-135919,-219025,71287,0
3.8083,2507,1825866,-2305667,-1891028,279350,128061,375995,0
4.4583,2722,1595477,-2653444,-1328376,723975,126907,264847,0
4.9694,3380,3813723,-4079836,469121,-3507388,534434,-3493553,1
5.7917,2849,1856393,-2505560,-1561710,327536,-14668,90963,0
7.3528,3032,1896927,-2377452,-1494559,90652,-104887,22927,0
7.8389,3382,4097722,-3182522,946802,-2984323,433676,-2939751,1
8.8861,3296,2078557,-2271698,-1639286,68735,-37641,26612,0
9.3722,3383,4487043,-2775923,1510473,-2484240,670730,-2809545,1
10.3833,3053,1993200,-2422910,-1490250,212699,-124762,63788,0
10.8944,3391,4028678,-3027679,1087850,-2842935,447530,-3114327,1
11.9917,3085,2145783,-2097660,-1752326,140907,-84501,208623,0
12.5278,3384,3604041,-3071527,626808,-3083048,258879,-3162368,1
13.6472,3260,1914687,-2521880,-1364270,273705,-109637,-16543,0
14.4639,3211,1893986,-2588527,-1301650,586710,-54240,175604,0
15.2556,3322,2197277,-2071293,-1749347,154514,-101904,272806,0
16.0556,2982,2063580,-2488268,-1854449,174623,91570,138339,0
16.8861,3029,1968830,-2704836,-1506440,626920,90087,207137,0
17.6944,2906,1947226,-2160172,-1675953,319107,-27575,205650,0
18.4583,3029,1901347,-2282754,-1660965,329425,48598,225195,0
19.1833,3033,1893452,-2404053,-1562270,453461,27032,195496,0
19.8806,2941,1881960,-2538385,-1467037,300203,-60158,221033,0
20.5667,3006,1883936,-2613498,-1527440,367226,-4922,174697,0
21.2528,3078,1737865,-2878705,-1284729,653011,63412,108731,0
21.9861,3093,1988985,-2458339,-1734927,389028,93351,256779,0
22.7917,3149,2033176,-2413247,-1693872,458844,50883,252564,0
23.6500,3151,2124694,-2265475,-1817688,286434,51725,286718,0
24.5028,3095,2092225,-2305770,-1777689,286003,7117,285736,0
25.3556,3091,1891041,-2558534,-1515924,485000,15304,164902,0
26.1861,3098,2114223,-2194557,-1840765,209594,4745,276421,0
26.9944,2845,2008348,-2219354,-1790517,326418,-9033,339196,0
27.7694,3355,1952966,-2460055,-1574760,353422,9041,235773,0
28.5556,2995,1840436,-2610883,-1513932,490447,10878,142117,0
29.3417,3170,1983271,-2455618,-1570781,452265,3546,236424,0
30.1389,3103,1926560,-2614029,-1449017,445989,-1776,93811,0
30.9389,2988,2013153,-2435122,-1713412,322687,16361,225960,0
31.7222,2805,1959972,-2452323,-1390889,78644,-198478,149875,0
32.5083,3358,1970392,-2458967,-1464198,401979,-46368,328606,0
33.3194,3149,1847263,-2771639,-1569728,527766,139757,105357,0
34.1306,3075,1901651,-2610836,-1599217,493613,124723,194419,0
34.8778,2926,1813539,-2478365,-1556909,547234,87019,293642,0
35.6028,3217,1845369,-2581428,-1517840,532730,61698,236170,0
36.3278,2986,1918505,-2347215,-1744649,316394,67149,276179,0
37.0917,2918,1650834,-2772540,-1256549,608422,36860,164372,0
37.8361,2877,1984935,-2257821,-1639635,188311,-77790,248588,0
38.5944,3052,1702768,-2736001,-1323664,616887,22343,198903,0
39.3583,3042,1945601,-2328787,-1822640,346578,120368,323967,0
40.1194,3061,1748016,-2633165,-1435847,569616,62119,234435,0
40.8944,2952,1769851,-2584240,-1431812,473742,21791,213501,0
41.6611,2930,1928108,-2250457,-1819568,279754,66644,390113,0
42.3833,2947,1958463,-2320742,-1759463,324758,61874,322462,0
