Tiempo(s),Valor_ADC
0.0028,1679
0.0056,1688
0.0083,1711
0.0111,1720
0.0139,1726
0.0167,1730
0.0194,1710
0.0222,1697
0.0250,1712
0.0278,1736
0.0306,1739
0.0333,1753
0.0361,1744
0.0389,1738
0.0417,1747
0.0444,1745
0.0472,1742
0.0500,1747
0.0528,1757
0.0556,1764
0.0583,1765
0.0611,1747
0.0639,1750
0.0667,1754
0.0694,1751
0.0722,1733
0.0750,1732
0.0778,1704
0.0806,1690
0.0833,1689
0.0861,1699
0.0889,1698
0.0917,1697
0.0944,1703
0.0972,1697
0.1000,1684
0.1028,1680
0.1056,1683
0.1083,1686
0.1111,1692
0.1139,1702
0.1167,1692
0.1194,1658
0.1222,1632
0.1250,1638
0.1278,1653
0.1306,1661
0.1333,1662
0.1361,1652
0.1389,1653
0.1417,1651
0.1444,1654
0.1472,1651
0.1500,1658
0.1528,1661
0.1556,1673
0.1583,1676
0.1611,1672
0.1639,1665
0.1667,1650
0.1694,1649
0.1722,1640
0.1750,1648
0.1778,1662
0.1806,1665
0.1833,1673
0.1861,1695
0.1889,1701
0.1917,1704
0.1944,1700
0.1972,1685
0.2000,1654
0.2028,1641
0.2056,1637
0.2083,1651
0.2111,1652
0.2139,1660
0.2167,1662
0.2194,1656
0.2222,1656
0.2250,1655
0.2278,1648
0.2306,1650
0.2333,1662
0.2361,1655
0.2389,1653
0.2417,1645
0.2444,1646
0.2472,1665
0.2500,1663
0.2528,1669
0.2556,1678
0.2583,1678
0.2611,1676
0.2639,1682
0.2667,1692
0.2694,1694
0.2722,1699
0.2750,1708
0.2778,1714
0.2806,1728
0.2833,1734
0.2861,1741
0.2889,1736
0.2917,1731
0.2944,1737
0.2972,1750
0.3000,1759
0.3028,1771
0.3056,1776
0.3083,1783
0.3111,1771
0.3139,1757
0.3167,1760
0.3194,1759
0.3222,1748
0.3250,1733
0.3278,1722
0.3306,1693
0.3333,1680
0.3361,1662
0.3389,1648
0.3417,1642
0.3444,1642
0.3472,1653
0.3500,1655
0.3528,1645
0.3556,1640
0.3583,1636
0.3611,1631
0.3639,1642
0.3667,1656
0.3694,1655
0.3722,1657
0.3750,1661
0.3778,1664
0.3806,1649
0.3833,1638
0.3861,1635
0.3889,1645
0.3917,1655
0.3944,1665
0.3972,1675
0.4000,1671
0.4028,1663
0.4056,1651
0.4083,1627
0.4111,1617
0.4139,1612
0.4167,1601
0.4194,1591
0.4222,1622
0.4250,1665
0.4278,1716
0.4306,1764
0.4333,1846
0.4361,1990
0.4389,2156
0.4417,2368
0.4444,2558
0.4472,2623
0.4500,2518
0.4528,2312
0.4556,2125
0.4583,2000
0.4611,1926
0.4639,1897
0.4667,1886
0.4694,1892
0.4722,1878
0.4750,1865
0.4778,1838
0.4806,1768
0.4833,1692
0.4861,1652
0.4889,1632
0.4917,1638
0.4944,1653
0.4972,1675
0.5000,1666
0.5028,1654
0.5056,1647
0.5083,1657
0.5111,1657
0.5139,1662
0.5167,1657
0.5194,1629
0.5222,1623
0.5250,1617
0.5278,1626
0.5306,1643
0.5333,1651
0.5361,1664
0.5389,1670
0.5417,1661
0.5444,1654
0.5472,1637
0.5500,1631
0.5528,1633
0.5556,1645
0.5583,1669
0.5611,1680
0.5639,1692
0.5667,1690
0.5694,1698
0.5722,1698
0.5750,1697
0.5778,1689
0.5806,1680
0.5833,1671
0.5861,1675
0.5889,1684
0.5917,1680
0.5944,1675
0.5972,1688
0.6000,1693
0.6028,1697
0.6056,1697
0.6083,1694
0.6111,1691
0.6139,1705
0.6167,1715
0.6194,1716
0.6222,1709
0.6250,1718
0.6278,1717
0.6306,1726
0.6333,1744
0.6361,1766
0.6389,1753
0.6417,1740
0.6444,1755
0.6472,1752
0.6500,1753
0.6528,1754
0.6556,1766
0.6583,1756
0.6611,1767
0.6639,1765
0.6667,1761
0.6694,1747
0.6722,1752
0.6750,1778
0.6778,1783
0.6806,1776
0.6833,1772
0.6861,1759
0.6889,1750
0.6917,1732
0.6944,1728
0.6972,1717
0.7000,1714
0.7028,1711
0.7056,1717
0.7083,1716
0.7111,1697
0.7139,1696
0.7167,1703
0.7194,1699
0.7222,1700
0.7250,1699
0.7278,1713
0.7306,1727
0.7333,1741
0.7361,1759
0.7389,1737
0.7417,1710
0.7444,1684
0.7472,1685
0.7500,1681
0.7528,1694
0.7556,1708
0.7583,1713
0.7611,1711
0.7639,1712
0.7667,1700
0.7694,1690
0.7722,1683
0.7750,1702
0.7778,1713
0.7806,1708
0.7833,1691
0.7861,1691
0.7889,1687
0.7917,1687
0.7944,1700
0.7972,1697
0.8000,1700
0.8028,1694
0.8056,1692
0.8083,1694
0.8111,1698
0.8139,1717
0.8167,1719
0.8194,1699
0.8222,1687
0.8250,1688
0.8278,1692
0.8306,1687
0.8333,1702
0.8361,1709
0.8389,1717
0.8417,1701
0.8444,1709
0.8472,1722
0.8500,1730
0.8528,1738
0.8556,1738
0.8583,1737
0.8611,1746
0.8639,1771
0.8667,1773
0.8694,1772
0.8722,1757
0.8750,1758
0.8778,1783
0.8806,1798
0.8833,1802
0.8861,1801
0.8889,1777
0.8917,1781
0.8944,1777
0.8972,1779
0.9000,1783
0.9028,1767
0.9056,1743
0.9083,1702
0.9111,1668
0.9139,1655
0.9167,1662
0.9194,1644
0.9222,1647
0.9250,1648
0.9278,1654
0.9306,1656
0.9333,1665
0.9361,1663
0.9389,1655
0.9417,1649
0.9444,1646
