Tiempo(s),Amplitud,C0,C1,C2,C3,C4,C5,Clase
0.3889,2616,832468,1615118,307328,-166609,-360852,211259,0
1.2917,2736,947781,1606726,278927,-176380,-359557,214233,0
2.2528,2689,758864,1683525,489457,-100450,-416977,119620,0
3.2306,2656,745827,1677123,508047,-16904,-444129,113764,0
4.0417,2691,962678,1598916,227097,-94031,-360786,287906,0
4.8583,2729,893579,1592023,362700,-162589,-421716,118136,0
5.6639,2672,825999,1601554,466281,-11414,-416362,182631,0
6.5111,2483,740130,1493845,405438,9840,-275306,170207,0
7.2139,2731,971994,1649993,347374,-109292,-397867,228904,0
7.9389,2838,1097481,1758167,305040,-187120,-405284,244511,0
8.8444,2806,870697,1734466,461331,-91598,-469435,160613,0
9.8389,2670,898180,1560457,204608,-159952,-299005,268867,0
10.6972,2623,695841,1523158,466767,-2293,-292014,169991,0
11.4417,2704,877717,1606305,320584,-145790,-391772,119538,0
12.2639,2659,788340,1585275,286906,-147795,-345472,164120,0
13.1778,2559,859883,1479354,245418,-92596,-336766,178035,0
13.9083,2691,812029,1581438,378478,-25004,-318273,141393,0
14.7444,2753,913710,1584178,355911,-178914,-421499,107195,0
15.7139,2665,774382,1616692,427674,25723,-325642,228429,0
16.6056,2794,1036558,1650885,255071,-299173,-408611,182492,0
17.5639,2687,973389,1571028,215646,-210067,-368148,231468,0
18.4833,2630,696849,1583520,454916,-761,-335578,153273,0
19.4000,2605,727557,1544287,468743,-35923,-402433,87482,0
20.2306,2683,894985,1528331,267666,-153128,-289779,281903,0
21.1611,2707,906103,1584006,313806,-192885,-389839,170362,0
22.1389,2683,911840,1573891,271157,-221998,-335429,222255,0
23.1056,2625,793155,1536919,364801,-149829,-367345,194840,0
24.0639,2705,850328,1539146,301752,-159293,-411837,137132,0
25.0222,2605,864754,1451189,219967,-197392,-332801,220364,0
25.9278,2672,789149,1489753,368234,-95246,-360722,178757,0
26.8417,2649,872887,1505075,235580,-144094,-355136,200910,0
27.7833,2691,832240,1553929,381478,-152848,-435766,164050,0
28.7361,2666,764659,1519867,442608,-74234,-412193,121755,0
29.6806,2586,805630,1451857,262503,-124488,-295565,211731,0
30.5583,2668,881146,1522001,198116,-192362,-331088,231710,0
31.4722,2695,755223,1573711,516023,-86309,-457726,98166,0
32.4028,2660,903440,1487416,244871,-168904,-361949,203924,0
33.2806,2645,756053,1478548,387547,-81965,-341468,182759,0
34.1583,2668,893160,1584343,253419,-167301,-331078,206845,0
35.0583,2668,908495,1587583,227381,-221423,-377990,195746,0
35.9444,2620,910800,1420267,157351,-120083,-276019,227379,0
36.8333,2685,978276,1548041,177605,-201350,-345735,179095,0
37.7611,2695,787331,1601472,483727,-57220,-425888,86453,0
38.6833,2600,769883,1481364,299015,-77461,-326896,230270,0
39.5472,2689,1013853,1488286,133810,-210920,-304016,234220,0
40.4528,2684,897873,1541624,288710,-214186,-341112,177780,0
41.3528,2646,861713,1532381,247803,-172347,-327267,242484,0
42.1722,2645,888033,1515606,256140,-136999,-300221,249822,0
43.0500,2668,952232,1514883,200132,-224047,-341862,213226,0
43.9500,2559,794592,1442328,223090,-71753,-255110,237509,0
