Tiempo(s),Valor_ADC
0.0028,1700
0.0056,1774
0.0083,1801
0.0111,1766
0.0139,1827
0.0167,1814
0.0194,1695
0.0222,1655
0.0250,1702
0.0278,1716
0.0306,1662
0.0333,1684
0.0361,1700
0.0389,1606
0.0417,1561
0.0444,1602
0.0472,1590
0.0500,1459
0.0528,1365
0.0556,1410
0.0583,1365
0.0611,1328
0.0639,1400
0.0667,1475
0.0694,1477
0.0722,1507
0.0750,1641
0.0778,1646
0.0806,1571
0.0833,1618
0.0861,1651
0.0889,1618
0.0917,1556
0.0944,1626
0.0972,1663
0.1000,1590
0.1028,1610
0.1056,1657
0.1083,1677
0.1111,1678
0.1139,1818
0.1167,1931
0.1194,1874
0.1222,1865
0.1250,1905
0.1278,1874
0.1306,1811
0.1333,1807
0.1361,1838
0.1389,1739
0.1417,1669
0.1444,1708
0.1472,1709
0.1500,1673
0.1528,1711
0.1556,1824
0.1583,1836
0.1611,1855
0.1639,2042
0.1667,2288
0.1694,2462
0.1722,2575
0.1750,2623
0.1778,2444
0.1806,2168
0.1833,2044
0.1861,1975
0.1889,1882
0.1917,1797
0.1944,1853
0.1972,1883
0.2000,1847
0.2028,1883
0.2056,1917
0.2083,1839
0.2111,1714
0.2139,1712
0.2167,1736
0.2194,1677
0.2222,1693
0.2250,1746
0.2278,1732
0.2306,1621
0.2333,1612
0.2361,1674
0.2389,1627
0.2417,1616
0.2444,1654
0.2472,1633
0.2500,1536
0.2528,1518
0.2556,1631
0.2583,1630
0.2611,1593
0.2639,1637
0.2667,1634
0.2694,1554
0.2722,1498
0.2750,1584
0.2778,1597
0.2806,1544
0.2833,1600
0.2861,1632
0.2889,1581
0.2917,1528
0.2944,1617
0.2972,1654
0.3000,1602
0.3028,1614
0.3056,1652
0.3083,1585
0.3111,1499
0.3139,1562
0.3167,1629
0.3194,1586
0.3222,1620
0.3250,1704
0.3278,1726
0.3306,1638
0.3333,1614
0.3361,1666
0.3389,1626
0.3417,1622
0.3444,1707
0.3472,1738
0.3500,1658
0.3528,1600
0.3556,1657
0.3583,1652
0.3611,1644
0.3639,1344
0.3667,1652
0.3694,1676
0.3722,1748
0.3750,1842
0.3778,1756
0.3806,1636
0.3833,1632
0.3861,1652
0.3889,1659
0.3917,1728
0.3944,1833
0.3972,1755
0.4000,1581
0.4028,1569
0.4056,1602
0.4083,1628
0.4111,1625
0.4139,1694
0.4167,1678
0.4194,1577
0.4222,1570
0.4250,1557
0.4278,1541
0.4306,1556
0.4333,1696
0.4361,1767
0.4389,1652
0.4417,1586
0.4444,1589
0.4472,1585
0.4500,1559
0.4528,1630
0.4556,1716
0.4583,1619
0.4611,1513
0.4639,1517
0.4667,1536
0.4694,1549
0.4722,1635
0.4750,1742
0.4778,1677
0.4806,1586
0.4833,1595
0.4861,1595
0.4889,1562
0.4917,1581
0.4944,1690
0.4972,1687
0.5000,1593
0.5028,1591
0.5056,1603
0.5083,1591
0.5111,1602
0.5139,1710
0.5167,1719
0.5194,1626
0.5222,1627
0.5250,1668
0.5278,1647
0.5306,1602
0.5333,1666
0.5361,1697
0.5389,1603
0.5417,1562
0.5444,1567
0.5472,1541
0.5500,1526
0.5528,1658
0.5556,1794
0.5583,1775
0.5611,1735
0.5639,1774
0.5667,1774
0.5694,1709
0.5722,1730
0.5750,1795
0.5778,1746
0.5806,1654
0.5833,1694
0.5861,1747
0.5889,1746
0.5917,1747
0.5944,1849
0.5972,1840
0.6000,1749
0.6028,1764
0.6056,1768
0.6083,1721
0.6111,1682
0.6139,1728
0.6167,1713
0.6194,1617
0.6222,1631
0.6250,1698
0.6278,1721
0.6306,1658
0.6333,1679
0.6361,1692
0.6389,1598
0.6417,1594
0.6444,1673
0.6472,1691
0.6500,1631
0.6528,1654
0.6556,1727
0.6583,1660
0.6611,1628
0.6639,1691
0.6667,1677
0.6694,1623
0.6722,1635
0.6750,1718
0.6778,1689
0.6806,1626
0.6833,1692
0.6861,1724
0.6889,1673
0.6917,1632
0.6944,1681
0.6972,1656
0.7000,1574
0.7028,1611
0.7056,1642
0.7083,1620
0.7111,1569
0.7139,1646
0.7167,1699
0.7194,1664
0.7222,1785
0.7250,2014
0.7278,2201
0.7306,2363
0.7333,2547
0.7361,2600
0.7389,2376
0.7417,2161
0.7444,2038
0.7472,1944
0.7500,1843
