Tiempo(s),Valor_ADC
0.0028,1044
0.0056,932
0.0083,879
0.0111,920
0.0139,1055
0.0167,1318
0.0194,1720
0.0222,2000
0.0250,2027
0.0278,1953
0.0306,1877
0.0333,1820
0.0361,1729
0.0389,1460
0.0417,1111
0.0444,826
0.0472,626
0.0500,514
0.0528,437
0.0556,379
0.0583,375
0.0611,408
0.0639,448
0.0667,521
0.0694,622
0.0722,754
0.0750,896
0.0778,1025
0.0806,1156
0.0833,1286
0.0861,1388
0.0889,1479
0.0917,1542
0.0944,1587
0.0972,1631
0.1000,1674
0.1028,1714
0.1056,1736
0.1083,1761
0.1111,1772
0.1139,1766
0.1167,1768
0.1194,1803
0.1222,1856
0.1250,1903
0.1278,1937
0.1306,1947
0.1333,1968
0.1361,1969
0.1389,1983
0.1417,2022
0.1444,2047
0.1472,2078
0.1500,2094
0.1528,2119
0.1556,2160
0.1583,2210
0.1611,2255
0.1639,2309
0.1667,2344
0.1694,2380
0.1722,2403
0.1750,2388
0.1778,2401
0.1806,2409
0.1833,2433
0.1861,2454
0.1889,2469
0.1917,2472
0.1944,2468
0.1972,2463
0.2000,2454
0.2028,2442
0.2056,2425
0.2083,2401
0.2111,2387
0.2139,2347
0.2167,2303
0.2194,2257
0.2222,2219
0.2250,2175
0.2278,2150
0.2306,2131
0.2333,2118
0.2361,2093
0.2389,2059
0.2417,2031
0.2444,1999
0.2472,1987
0.2500,1966
0.2528,1946
0.2556,1918
0.2583,1892
0.2611,1869
0.2639,1876
0.2667,1873
0.2694,1869
0.2722,1864
0.2750,1861
0.2778,1874
0.2806,1892
0.2833,1919
0.2861,1920
0.2889,1901
0.2917,1864
0.2944,1844
0.2972,1857
0.3000,1893
0.3028,1938
0.3056,1984
0.3083,2031
0.3111,2058
0.3139,2067
0.3167,2059
0.3194,2059
0.3222,2057
0.3250,2054
0.3278,2035
0.3306,2011
0.3333,1957
0.3361,1894
0.3389,1803
0.3417,1716
0.3444,1639
0.3472,1566
0.3500,1497
0.3528,1435
0.3556,1406
0.3583,1373
0.3611,1351
0.3639,1335
0.3667,1351
0.3694,1370
0.3722,1381
0.3750,1373
0.3778,1361
0.3806,1354
0.3833,1362
0.3861,1370
0.3889,1364
0.3917,1372
0.3944,1378
0.3972,1393
0.4000,1386
0.4028,1337
0.4056,1251
0.4083,1129
0.4111,1010
0.4139,903
0.4167,864
0.4194,914
0.4222,1074
0.4250,1356
0.4278,1778
0.4306,2022
0.4333,2030
0.4361,1929
0.4389,1808
0.4417,1711
0.4444,1563
0.4472,1218
0.4500,826
0.4528,527
0.4556,344
0.4583,267
0.4611,249
0.4639,271
0.4667,311
0.4694,372
0.4722,461
0.4750,574
0.4778,686
0.4806,798
0.4833,914
0.4861,1049
0.4889,1193
0.4917,1315
0.4944,1429
0.4972,1518
0.5000,1576
0.5028,1619
0.5056,1649
0.5083,1690
0.5111,1722
0.5139,1752
0.5167,1775
0.5194,1797
0.5222,1816
0.5250,1831
0.5278,1848
0.5306,1881
0.5333,1917
0.5361,1930
0.5389,1954
0.5417,1969
0.5444,1976
0.5472,2010
0.5500,2043
0.5528,2091
0.5556,2142
0.5583,2179
0.5611,2213
0.5639,2234
0.5667,2264
0.5694,2309
0.5722,2347
0.5750,2381
0.5778,2415
0.5806,2424
0.5833,2443
0.5861,2455
0.5889,2471
0.5917,2504
0.5944,2506
0.5972,2515
0.6000,2523
0.6028,2517
0.6056,2501
0.6083,2480
0.6111,2462
0.6139,2455
0.6167,2424
0.6194,2387
0.6222,2343
0.6250,2287
0.6278,2246
0.6306,2214
0.6333,2182
0.6361,2149
0.6389,2124
0.6417,2085
0.6444,2054
0.6472,2022
0.6500,1999
0.6528,1981
0.6556,1951
0.6583,1925
0.6611,1904
0.6639,1878
0.6667,1856
0.6694,1842
0.6722,1836
0.6750,1842
0.6778,1836
0.6806,1836
0.6833,1821
0.6861,1830
0.6889,1851
0.6917,1873
0.6944,1876
0.6972,1889
0.7000,1872
0.7028,1851
0.7056,1833
0.7083,1840
0.7111,1864
0.7139,1888
0.7167,1935
0.7194,1966
0.7222,1996
0.7250,2021
0.7278,2040
0.7306,2047
0.7333,2068
0.7361,2049
0.7389,2020
0.7417,1981
0.7444,1928
0.7472,1871
0.7500,1806
0.7528,1728
0.7556,1645
0.7583,1576
0.7611,1515
0.7639,1464
0.7667,1431
0.7694,1406
0.7722,1383
0.7750,1368
0.7778,1371
0.7806,1377
0.7833,1380
0.7861,1374
0.7889,1381
0.7917,1378
0.7944,1370
0.7972,1371
0.8000,1381
0.8028,1397
0.8056,1401
0.8083,1419
0.8111,1432
0.8139,1425
0.8167,1360
0.8194,1265
0.8222,1150
0.8250,1026
0.8278,968
0.8306,990
0.8333,1111
0.8361,1353
0.8389,1726
0.8417,1924
0.8444,1941
0.8472,1889
0.8500,1827
0.8528,1779
0.8556,1641
0.8583,1359
0.8611,1106
0.8639,929
0.8667,801
0.8694,713
0.8722,620
0.8750,525
0.8778,450
0.8806,428
0.8833,448
0.8861,521
0.8889,603
0.8917,702
0.8944,811
0.8972,911
0.9000,1024
0.9028,1141
0.9056,1247
0.9083,1344
0.9111,1424
0.9139,1481
0.9167,1511
0.9194,1554
0.9222,1590
0.9250,1627
0.9278,1667
0.9306,1689
0.9333,1715
0.9361,1738
0.9389,1757
0.9417,1778
0.9444,1797
0.9472,1801
0.9500,1817
0.9528,1829
0.9556,1848
0.9583,1874
0.9611,1904
0.9639,1947
0.9667,1989
0.9694,2030
0.9722,2053
0.9750,2068
0.9778,2100
0.9806,2131
0.9833,2175
0.9861,2221
0.9889,2270
0.9917,2299
0.9944,2333
0.9972,2354
1.0000,2377
1.0028,2400
1.0056,2420
1.0083,2441
1.0111,2448
1.0139,2452
1.0167,2442
1.0194,2430
1.0222,2419
1.0250,2408
1.0278,2371
1.0306,2337
1.0333,2297
1.0361,2283
1.0389,2253
1.0417,2232
1.0444,2202
1.0472,2168
1.0500,2133
1.0528,2102
1.0556,2057
1.0583,2022
1.0611,1974
1.0639,1939
1.0667,1908
1.0694,1895
1.0722,1880
1.0750,1855
1.0778,1829
1.0806,1811
1.0833,1799
1.0861,1792
1.0889,1787
1.0917,1786
1.0944,1795
1.0972,1820
1.1000,1840
1.1028,1847
1.1056,1849
1.1083,1850
1.1111,1821
1.1139,1791
1.1167,1755
1.1194,1772
