Tiempo(s),Valor_ADC
0.0028,1551
0.0056,1540
0.0083,1545
0.0111,1531
0.0139,1523
0.0167,1515
0.0194,1519
0.0222,1527
0.0250,1536
0.0278,1546
0.0306,1551
0.0333,1547
0.0361,1552
0.0389,1556
0.0417,1555
0.0444,1558
0.0472,1561
0.0500,1562
0.0528,1550
0.0556,1552
0.0583,1549
0.0611,1545
0.0639,1552
0.0667,1559
0.0694,1576
0.0722,1592
0.0750,1607
0.0778,1617
0.0806,1633
0.0833,1656
0.0861,1667
0.0889,1696
0.0917,1713
0.0944,1720
0.0972,1723
0.1000,1727
0.1028,1747
0.1056,1781
0.1083,1815
0.1111,1839
0.1139,1854
0.1167,1888
0.1194,1902
0.1222,1925
0.1250,1952
0.1278,1964
0.1306,1961
0.1333,1939
0.1361,1906
0.1389,1859
0.1417,1800
0.1444,1714
0.1472,1628
0.1500,1575
0.1528,1543
0.1556,1522
0.1583,1520
0.1611,1530
0.1639,1518
0.1667,1507
0.1694,1504
0.1722,1500
0.1750,1493
0.1778,1491
0.1806,1476
0.1833,1465
0.1861,1469
0.1889,1474
0.1917,1475
0.1944,1478
0.1972,1473
0.2000,1455
0.2028,1454
0.2056,1461
0.2083,1470
0.2111,1492
0.2139,1508
0.2167,1530
0.2194,1532
0.2222,1528
0.2250,1514
0.2278,1494
0.2306,1486
0.2333,1517
0.2361,1645
0.2389,1857
0.2417,2173
0.2444,2391
0.2472,2427
0.2500,2386
0.2528,2335
0.2556,2277
0.2583,2212
0.2611,2015
0.2639,1723
0.2667,1466
0.2694,1275
0.2722,1142
0.2750,1059
0.2778,978
0.2806,926
0.2833,909
0.2861,924
0.2889,971
0.2917,1026
0.2944,1090
0.2972,1136
0.3000,1180
0.3028,1250
0.3056,1349
0.3083,1427
0.3111,1496
0.3139,1559
0.3167,1598
0.3194,1620
0.3222,1644
0.3250,1661
0.3278,1677
0.3306,1680
0.3333,1697
0.3361,1692
0.3389,1700
0.3417,1713
0.3444,1729
0.3472,1751
0.3500,1758
0.3528,1771
0.3556,1767
0.3583,1759
0.3611,1754
0.3639,1766
0.3667,1789
0.3694,1813
0.3722,1823
0.3750,1832
0.3778,1834
0.3806,1840
0.3833,1843
0.3861,1841
0.3889,1841
0.3917,1848
0.3944,1852
0.3972,1860
0.4000,1872
0.4028,1880
0.4056,1895
0.4083,1914
0.4111,1930
0.4139,1933
0.4167,1920
0.4194,1927
0.4222,1936
0.4250,1951
0.4278,1973
0.4306,1988
0.4333,2001
0.4361,2020
0.4389,2024
0.4417,1986
0.4444,1967
0.4472,1947
0.4500,1931
0.4528,1896
0.4556,1861
0.4583,1826
0.4611,1795
0.4639,1777
0.4667,1753
0.4694,1735
0.4722,1713
0.4750,1680
0.4778,1668
0.4806,1654
0.4833,1654
0.4861,1652
0.4889,1640
0.4917,1630
0.4944,1614
0.4972,1603
0.5000,1593
0.5028,1600
0.5056,1602
0.5083,1606
0.5111,1617
0.5139,1618
0.5167,1611
0.5194,1603
0.5222,1591
0.5250,1584
0.5278,1604
0.5306,1613
0.5333,1620
0.5361,1632
0.5389,1632
0.5417,1637
0.5444,1636
0.5472,1639
0.5500,1643
0.5528,1636
0.5556,1642
0.5583,1649
0.5611,1647
0.5639,1670
0.5667,1681
0.5694,1675
0.5722,1664
0.5750,1660
0.5778,1647
0.5806,1647
0.5833,1653
0.5861,1661
0.5889,1673
0.5917,1666
0.5944,1673
0.5972,1681
0.6000,1664
0.6028,1660
0.6056,1657
0.6083,1646
0.6111,1612
0.6139,1579
0.6167,1535
0.6194,1513
0.6222,1517
0.6250,1539
0.6278,1562
0.6306,1580
0.6333,1597
0.6361,1604
0.6389,1600
0.6417,1587
0.6444,1585
0.6472,1584
0.6500,1600
0.6528,1614
0.6556,1627
0.6583,1643
0.6611,1672
0.6639,1733
0.6667,1822
0.6694,1918
0.6722,1945
0.6750,1947
0.6778,1912
0.6806,1862
0.6833,1833
0.6861,1806
0.6889,1795
0.6917,1786
0.6944,1768
0.6972,1749
0.7000,1735
0.7028,1729
0.7056,1723
0.7083,1747
0.7111,1767
0.7139,1783
0.7167,1784
0.7194,1795
0.7222,1791
0.7250,1794
0.7278,1784
0.7306,1808
0.7333,1844
0.7361,1885
0.7389,1925
0.7417,1943
0.7444,1965
0.7472,1966
0.7500,1965
0.7528,1968
0.7556,1978
0.7583,1965
0.7611,1947
0.7639,1909
0.7667,1854
0.7694,1756
0.7722,1685
0.7750,1618
0.7778,1585
0.7806,1572
0.7833,1538
0.7861,1521
0.7889,1508
0.7917,1497
0.7944,1492
0.7972,1490
0.8000,1485
0.8028,1484
0.8056,1476
0.8083,1463
0.8111,1462
0.8139,1474
0.8167,1473
0.8194,1483
0.8222,1491
0.8250,1500
0.8278,1490
0.8306,1469
0.8333,1466
0.8361,1471
0.8389,1489
0.8417,1519
0.8444,1549
0.8472,1561
0.8500,1542
0.8528,1513
0.8556,1482
0.8583,1478
0.8611,1537
0.8639,1683
0.8667,1925
0.8694,2241
0.8722,2412
0.8750,2432
0.8778,2388
0.8806,2358
0.8833,2344
0.8861,2281
0.8889,2052
0.8917,1754
0.8944,1495
0.8972,1330
0.9000,1223
0.9028,1134
0.9056,1038
0.9083,984
0.9111,957
0.9139,971
0.9167,1011
0.9194,1065
0.9222,1128
0.9250,1197
0.9278,1266
0.9306,1350
0.9333,1448
0.9361,1517
0.9389,1585
0.9417,1626
0.9444,1636
0.9472,1652
0.9500,1680
0.9528,1702
0.9556,1727
0.9583,1755
0.9611,1765
0.9639,1772
0.9667,1762
0.9694,1768
0.9722,1782
0.9750,1799
0.9778,1807
0.9806,1817
0.9833,1821
0.9861,1827
0.9889,1830
0.9917,1842
0.9944,1857
0.9972,1876
1.0000,1888
1.0028,1887
1.0056,1894
1.0083,1881
1.0111,1884
1.0139,1884
1.0167,1900
1.0194,1913
1.0222,1916
1.0250,1923
1.0278,1934
1.0306,1941
1.0333,1953
1.0361,1964
1.0389,1974
1.0417,1982
1.0444,1979
1.0472,1983
1.0500,1981
1.0528,2012
1.0556,2030
1.0583,2049
1.0611,2065
1.0639,2018
1.0667,2012
1.0694,1992
1.0722,1973
1.0750,1947
1.0778,1930
1.0806,1894
1.0833,1856
1.0861,1805
1.0889,1775
1.0917,1757
1.0944,1745
1.0972,1719
1.1000,1703
1.1028,1689
1.1056,1661
1.1083,1644
1.1111,1627
1.1139,1627
1.1167,1635
1.1194,1630
1.1222,1625
1.1250,1628
1.1278,1611
1.1306,1599
1.1333,1597
1.1361,1602
1.1389,1608
1.1417,1609
1.1444,1601
1.1472,1608
1.1500,1606
1.1528,1619
1.1556,1625
1.1583,1626
1.1611,1639
1.1639,1632
1.1667,1633
1.1694,1625
1.1722,1627
1.1750,1628
1.1778,1639
1.1806,1645
1.1833,1644
1.1861,1644
1.1889,1647
1.1917,1660
1.1944,1654
1.1972,1662
1.2000,1655
1.2028,1651
1.2056,1645
1.2083,1650
1.2111,1658
1.2139,1661
1.2167,1664
1.2194,1665
1.2222,1654
1.2250,1653
1.2278,1646
1.2306,1657
1.2333,1657
1.2361,1664
1.2389,1669
1.2417,1665
1.2444,1652
1.2472,1652
1.2500,1648
1.2528,1642
1.2556,1641
1.2583,1647
1.2611,1637
1.2639,1625
1.2667,1634
1.2694,1629
1.2722,1637
1.2750,1638
1.2778,1635
1.2806,1634
1.2833,1642
1.2861,1642
1.2889,1635
1.2917,1642
1.2944,1636
1.2972,1640
1.3000,1633
1.3028,1630
1.3056,1624
1.3083,1624
1.3111,1628
1.3139,1627
1.3167,1629
1.3194,1642
1.3222,1663
1.3250,1701
1.3278,1724
1.3306,1745
1.3333,1765
1.3361,1773
1.3389,1771
1.3417,1769
1.3444,1772
1.3472,1779
1.3500,1822
1.3528,1870
1.3556,1902
1.3583,1922
1.3611,1950
1.3639,1968
1.3667,1980
1.3694,1996
1.3722,1991
1.3750,1991
1.3778,1960
1.3806,1928
1.3833,1881
1.3861,1814
1.3889,1738
1.3917,1662
1.3944,1612
1.3972,1582
1.4000,1558
1.4028,1539
1.4056,1528
1.4083,1517
1.4111,1504
1.4139,1505
1.4167,1498
1.4194,1494
1.4222,1488
1.4250,1478
1.4278,1475
1.4306,1474
1.4333,1476
1.4361,1484
1.4389,1495
1.4417,1485
1.4444,1480
1.4472,1479
1.4500,1474
1.4528,1488
1.4556,1504
1.4583,1527
1.4611,1557
1.4639,1580
